driver;fp1 result;fp1 time;fp1 laps;fp1 gap;fp2 result;fp2 time;fp2 laps;fp2 gap;fp3 result;fp3 time;fp3 laps;fp3 gap;quali 1 result;quali 1 time;quali 1 gap;quali 2 result;quali 2 time;quali 2 gap;quli 3 result;quali 3 time;quali 3 gap;Race Result;Race Time in sec;Race fastest lap position;Race Fastest lap time;Race Fastest lap Gap;Race Fastest lap avg. Speed;Race num pit stops;Race total pit stop time
Brendon Hartley;16;96.715;2.716;23;15;95.333;1.851;37;14;94.991;1.973;20;15;94.013;1.842;15;93.795;1.881;15;93.795;11.957;20;;20;99.376;13.431;197.468;2;47.242
Nico Hulkenberg;10;95.800;1.801;18;6;94.313;0.831;30;11;94.841;1.823;16;11;93.545;1.374;5;92.494;0.580;7;92.532;10.694;6;5757.432;5;96.881;10.936;202.553;2;46.951
Charles Leclerc;17;96.723;2.724;23;18;95.916;2.434;26;18;95.497;2.479;14;19;94.454;2.283;19;94.454;2.540;19;94.454;12.616;19;5818.955;19;98.808;12.863;198.603;1;23.392
Kevin Magnussen;7;95.178;1.179;21;7;94.458;0.976;26;6;94.329;1.311;25;8;93.359;1.188;11;92.986;1.072;11;92.986;11.148;10;5775.974;14;98.152;12.207;199.930;1;22.973
Esteban Ocon;14;96.351;2.352;32;13;94.874;1.392;30;8;94.456;1.438;16;12;93.585;1.414;12;93.057;1.430;12;93.057;11.219;11;5780.43;12;97.985;12.040;200.271;2;45.918
Sergio Perez;13;96.051;2.052;28;11;94.792;1.310;30;7;94.445;1.427;14;10;93.464;1.293;9;92.931;1.017;8;92.758;10.92;12;5781.105;10;97.673;11.728;200.911;2;45.19
Kimi Raikkonen;2;94.358;0.359;14;2;93.489;0.007;26;2;93.469;0.451;21;2;92.474;0.303;3;92.286;0.372;2;91.182;9.344;3;5746.017;3;96.456;10.511;203.446;1;22.913
Daniel Ricciardo;4;94.537;0.538;22;9;94.557;1.075;26;15;95.061;2.043;4;14;93.877;1.706;7;92.688;0.774;6;91.948;10.11;1;5736.38;1;95.785;9.840;204.871;2;45.733
Carlos Sainz;8;95.616;1.617;23;8;94.473;0.991;28;9;94.582;1.564;20;7;93.315;1.144;10;92.97;1.056;9;92.819;10.981;9;5772.143;11;97.754;11.809;200.744;2;47.052
Sergei Sirotkin;15;96.691;2.692;31;16;95.340;1.858;31;10;94.741;1.723;13;16;94.062;1.891;16;94.062;2.148;16;94.062;12.224;15;5794.621;18;98.624;12.679;198.973;2;46.439
Lance Stroll;20;97.277;3.278;28;20;97.147;3.665;19;17;95.375;2.357;16;18;94.285;2.114;18;94.285;2.371;18;94.285;12.447;14;5791.87;17;98.500;12.555;199.224;1;22.661
Stoffel Vandoorne;18;96.756;2.757;25;14;95.163;1.681;22;13;94.977;1.959;16;13;93.824;1.653;14;93.505;1.591;14;93.505;11.667;13;5785.753;13;98.137;12.192;199.961;1;23.73
Max Verstappen;5;94.668;0.669;22;5;93.823;0.341;26;4;93.969;0.951;14;4;92.932;0.761;8;92.809;0.895;5;91.796;9.958;5;5756.816;2;96.206;10.261;203.974;2;45.311
Sebastian Vettel;6;94.861;0.862;18;4;93.590;0.108;27;1;93.018;0.000;14;1;92.171;0.000;4;92.385;0.372;1;91.095;9.257;8;5771.666;9;97.479;11.534;201.311;1;23.009
